pid,ECategory,Event,ELevel
324172,sports,cricket,school
241998,sports,"volleyball,handball ",state
241998,games,high jump,district
241998,cultural,science skit,school
241998,hobbies,"reading books,playing games",school
241998,others,love computer science and coding,national
322098,sports,none,school
322098,games,none,school
322098,cultural,none,school
322098,hobbies,"listening songs, cycling ",school
322086,sports,football,school
322086,games,,school
322086,cultural,,school
322086,hobbies,,school
322086,others,,school
322152,sports,basketball,school
322152,cultural,dancing,school
322152,hobbies,drawing,school
322102,sports,t-20 cricket tournament hosted by n.l. dalmia high school ,school
322082,sports,hockey,district
322082,games,basketball,school
322082,cultural,singing,school
322082,hobbies,guitar,school
322082,others,-,school
324152,sports,carrom,school
324152,games,fencing ,district
324152,cultural,dance,school
324152,hobbies,dance,school
324152,others,painting ,school
322094,cultural,annual days,school
322094,hobbies,dancing,school
322100,sports,"throw ball,kabaddi",school
322090,others,martial arts,district
322122,sports,football,school
322124,cultural,dancing,school
322224,cultural,dancing,school
322224,hobbies,"reading,watching movies,listening to music",school
346114,sports,cricket,school
346114,games,cricket,school
346114,cultural,drama,school
346114,hobbies,reading,school
346244,others,abacus maths,state
322104,hobbies,"reading,",school
326238,hobbies,singing,school
324194,sports,football,school
324194,games,snooker,school
324194,cultural,drama,school
324208,sports,"volleyball (participated in 10th standard), represented school team(navy children school)participated in volleyball summer camps conducted by the indian navy thrice(won twice for best performance u-16)",school
342160,sports,no,school
342160,games,no,school
342160,cultural,no,school
342160,hobbies,no,school
342160,others,no,school
322078,cultural,bharat natyam,school
322078,hobbies,drawing and reading,school
241998,sports,no,school
241998,games,no,school
241998,cultural,no,school
241998,hobbies,swimming,school
342010,sports,table tennis sub junior boys quater finalists,district
342010,games,table tennis participation,state
324184,games,chess,school
322064,sports,basketball ,school
241998,sports,swimming,state
241998,games,chess,district
346002,sports,,school
241998,sports,carrom competition (singles),school
241998,games,chess competition,school
241998,hobbies,drawing and painting,school
241998,sports,volleyball,district
241998,games,volleyball,district
241998,cultural,social service,school
241998,hobbies,"playing volleyball,football,cricket,table tenis",district
346522,sports,,school
346522,games,"carrom competition (singles), chess competition",school
346522,hobbies,"drawing, painting and sketching",school
241998,sports,participated in running competition and cricket matches,school
346530,sports,kabaddi,school
346530,cultural,"dance,singing",school
346530,hobbies,painting,school
346542,games,shot put,school
346542,hobbies,drawing,school
346536,sports,football,school
346536,cultural,dance,school
346536,sports,football,school
346536,cultural,dance,school
344532,sports,"volleyball, throwball",district
344532,games,"volleyball,throwball",district
344532,cultural,social service,school
344532,hobbies,"playing volleyball,football,throwball,handball,cricket,table tenis,carom",school
344532,sports,"volleyball, throwball",district
344532,games,"volleyball,throwball",district
344532,cultural,social service,school
344532,hobbies,"playing volleyball,football,throwball,handball,cricket,table tenis,carom",school
241998,others,paper presentation,state
241998,games,running ,school
