"pid,ECategory,Hobby,Hobby_level"
"198437,games,carrom,school"
"198438,cultural,""role play,dance"",school"
"198439,hobbies,""reading inspirational books,learning new technical things"",school"
"198440,sports,no,school"
"198441,games,no,school"
"198442,cultural,no,school"
"198443,hobbies,no,school"
"198444,others,no,school"
"198445,sports,cricket,school"
"198446,games,cricket,school"
"198447,cultural,drama,school"
"198448,hobbies,playing,school"
"198449,hobbies,drawing grade examinations,state"
"198450,hobbies,drawing grade examinations,state"
"198451,hobbies,drawing grade examinations,state"
"198452,sports,karate,district"
"198453,sports,basketball,school"
"198454,sports,short put- silver medal,school"
"198455,sports,football,school"
"198456,sports,cricket,school"
"198457,games,chess,school"
"198458,sports,cricket,school"
"198459,games,chess,school"
"198460,sports,football,district"
"198461,sports,cricket,school"
"198462,sports,silambam martialarts 3rd prize winner,national"
"198463,hobbies,drawing ,school"
"198464,others,art and craft,school"
"198465,games,chess,school"
"198466,sports,footballchess,district"
"198467,cultural,elocutiondrama,school"
"198468,hobbies,""languages like french, c  , java"",school"
"198469,others,dance,school"
"198470,games,athletic,school"
"198471,cultural,dance,school"
"198472,games,chess,school"
"198473,games,chess,school"
"198474,sports,volleyball,district"
"198475,games,chess,school"
"198476,sports,basketball,district"
"198477,sports,foot ball,school"
"198478,others,intermediate grade drawing examination-grade-a,state"
"198479,sports,basketball cricket,school"
"198480,sports,foot ball,school"
"198481,others,intermediate drawing examination,state"
"198482,sports,relay,school"
"198483,sports,football,school"
"198484,hobbies,painting,district"
"198485,others,scout and guide,school"
"198486,sports,badminton player,district"
"198487,cultural,dance,school"
"198488,hobbies,playing badminton and reading books,school"
"198489,sports,long jump,state"
"198490,hobbies,swimming ,school"
"198491,others,electrical engineering,school"
"198492,sports,""hurdles, race"",school"
"198493,hobbies,singing,state"
"198494,sports,""hurdles, race"",school"
"198495,hobbies,singing,state"
"198496,sports,football,district"
"198497,others,1st rank in debate competition,school"
"198498,others,1st rank in debate competition1st rank in quiz competition,school"
"198499,others,1st in debate competition1st in quiz competition,school"
"198500,sports,no,school"
"198501,games,no,school"
"198502,cultural,no,school"
"198503,hobbies,""reading,swimming, spirituals discources"",school"
"198504,others,no,school"
"198505,sports,""table tennis , carrom , footballl achievements"",school"
"198506,sports,football,school"
"198507,games,chess ,school"
"198508,cultural,elocution ,school"
"198509,hobbies,cricket ,school"
"198510,hobbies,""dancing,drawing"",school"
"198511,games,chess,school"
"198512,cultural,elocution,school"
"198513,sports,""cricket,football."",school"
"198514,hobbies,""piano,music production."",school"
"198515,sports,""football,karate"",district"
"198516,sports,football,school"
"198517,games,badmintton,school"
"198518,hobbies,guitar and music,school"
"198519,sports,""football,karate"",district"
"198520,sports,football,school"
"198521,games,athletics,school"
"198522,hobbies,football,school"
"198523,sports,football,school"
"198524,sports,football,school"
"198525,sports,football,school"
"198526,sports,""running,relay"",district"
"198527,hobbies,drawing,school"
"198528,sports,karate,state"
"198529,games,running,school"
"198530,sports,taekwondo,district"
"198531,games,cricket,school"
"198532,hobbies,playing cricket ,district"
"198533,hobbies,playing cricket ,school"
"198534,sports,hockey,school"
"198535,hobbies,dance,school"
"198536,sports,badminton,school"
"198537,sports,karate silver medalist in local levels,school"
"198538,games,played kabaddi at school levels,school"
"198539,hobbies,""drawing,football"",school"
"198540,sports,handball,district"
"198541,sports,cricket ,state"
"198542,hobbies,to help poor people,national"
"198543,games,chess,school"
"198544,cultural,dancing,school"
"198545,hobbies,singing,state"
"198546,others,mehendi,state"
"198547,sports,handball,district"
"198548,sports,handball,district"
"198549,games,chess,school"
"198550,cultural,dance,school"
"198551,hobbies,singing,district"
"198552,others,mehendi,district"
"198553,games,chess,school"
"198554,cultural,dance,school"
"198555,hobbies,singing,district"
"198556,others,mehendi,district"
"198557,games,chess,school"
"198558,cultural,dance,school"
"198559,hobbies,singing,district"
"198560,others,mehendi,district"
"198561,sports,district level qualified in boxing and swimming both,district"
"198562,hobbies,mixed martial arts,school"
"198563,sports,kho-kho,school"
"198564,cultural,katthak completed 6 exams,school"
"198565,hobbies,plays violin ,school"
"198566,hobbies,music,district"
"198567,sports,football,school"
"198568,sports,squash player,school"
"198569,cultural,tabla player,school"
"198570,hobbies,listening music,school"
"198571,sports,football,district"
"198572,sports,cricket,school"
"198573,games,no,school"
"198574,cultural,tabla,school"
"198575,hobbies,no,school"
"198576,others,no,school"
"198577,sports,soccer,school"
"198578,cultural,drumming ,school"
"198579,sports,cricket,school"
"198580,cultural,tabla,school"
"198581,sports,cricket,school"
"198582,cultural,tabla,school"
"198583,hobbies,""dancing,drawing"",school"
"198584,sports,football,school"
"198585,hobbies,games ,school"
"198586,sports,cricket,school"
"198587,games,carrom,school"
"198588,cultural,elocutiondramamonoact,district"
"198589,others,dance,school"
"198590,cultural,singing and dance and acting,school"
"198591,hobbies,""playing the guitar, ukulele and drums"",school"
"198592,hobbies,play guitar,school"
"198593,sports,cricket,school"
"198594,hobbies,drawing,school"
"198595,others,guitar,school"
"198596,sports,football,school"
"198597,hobbies,karate,school"
"198598,others,band,school"
"198599,others,band,school"
"198600,sports,cricket,school"
"198601,sports,""volleyball,handball "",state"
"198602,games,high jump,district"
"198603,cultural,science skit,school"
"198604,hobbies,""reading books,playing games"",school"
"198605,others,love computer science and coding,national"
"198606,sports,none,school"
"198607,games,none,school"
"198608,cultural,none,school"
"198609,hobbies,""listening songs, cycling "",school"
"198610,sports,football,school"
"198611,games,none,school"
"198612,cultural,none,school"
"198613,hobbies,none,school"
"198614,others,none,school"
"198615,sports,basketball,school"
"198616,cultural,dancing,school"
"198617,hobbies,drawing,school"
"198618,sports,t-20 cricket tournament hosted by n.l. dalmia high school ,school"
"198619,sports,hockey,district"
"198620,games,basketball,school"
"198621,cultural,singing,school"
"198622,hobbies,guitar,school"
"198623,others,-,school"
"198624,sports,carrom,school"
"198625,games,fencing ,district"
"198626,cultural,dance,school"
"198627,hobbies,dance,school"
"198628,others,painting ,school"
"198629,cultural,annual days,school"
"198630,hobbies,dancing,school"
"198631,sports,""throw ball,kabaddi"",school"
"198632,others,martial arts,district"
"198633,sports,football,school"
"198634,cultural,dancing,school"
"198635,cultural,dancing,school"
"198636,hobbies,""reading,watching movies,listening to music"",school"
"198637,sports,cricket,school"
"198638,games,cricket,school"
"198639,cultural,drama,school"
"198640,hobbies,reading,school"
"198641,others,abacus maths,state"
"198642,hobbies,""reading,"",school"
"198643,hobbies,singing,school"
"198644,sports,football,school"
"198645,games,snooker,school"
"198646,cultural,drama,school"
"198647,sports,""volleyball (participated in 10th standard), represented school team(navy children school)participated in volleyball summer camps conducted by the indian navy thrice(won twice for best performance u-16)"",school"
"198648,sports,no,school"
"198649,games,no,school"
"198650,cultural,no,school"
"198651,hobbies,no,school"
"198652,others,no,school"
"198653,cultural,bharat natyam,school"
"198654,hobbies,drawing and reading,school"
"198655,sports,no,school"
"198656,games,no,school"
"198657,cultural,no,school"
"198658,hobbies,swimming,school"
"198659,sports,table tennis sub junior boys quater finalists,district"
"198660,games,table tennis participation,state"
"198661,games,chess,school"
"198662,sports,basketball ,school"
"198663,sports,swimming,state"
"198664,games,chess,district"
"198665,sports,chess,school"
"198666,sports,carrom competition (singles),school"
"198667,games,chess competition,school"
"198668,hobbies,drawing and painting,school"
"198669,sports,volleyball,district"
"198670,games,volleyball,district"
"198671,cultural,social service,school"
"198672,hobbies,""playing volleyball,football,cricket,table tenis"",district"
"198673,sports,""playing volleyball,football,cricket,table tenis"",school"
"198674,games,""carrom competition (singles), chess competition"",school"
"198675,hobbies,""drawing, painting and sketching"",school"
"198676,sports,participated in running competition and cricket matches,school"
"198677,sports,kabaddi,school"
"198678,cultural,""dance,singing"",school"
"198679,hobbies,painting,school"
"198680,games,shot put,school"
"198681,hobbies,drawing,school"
"198682,sports,football,school"
"198683,cultural,dance,school"
"198684,sports,football,school"
"198685,cultural,dance,school"
"198686,sports,""volleyball, throwball"",district"
"198687,games,""volleyball,throwball"",district"
"198688,cultural,social service,school"
"198689,hobbies,""playing volleyball,football,throwball,handball,cricket,table tenis,carom"",school"
"198690,sports,""volleyball, throwball"",district"
